,Tompkins
1080,22.0
1081,22.333333333333332
1082,22.666666666666668
1083,22.666666666666668
1084,21.666666666666668
1085,22.666666666666668
1086,21.0
1087,20.0
1088,21.0
1089,22.333333333333332
1090,22.666666666666668
1091,22.666666666666668
1092,22.333333333333332
1093,21.666666666666668
1094,22.333333333333332
1095,22.333333333333332
1096,22.666666666666668
1097,22.666666666666668
1098,22.0
1099,22.666666666666668
1100,23.0
1101,22.666666666666668
1102,21.666666666666668
1103,21.333333333333332
1104,23.666666666666668
1105,22.0
1106,22.666666666666668
1107,22.333333333333332
1108,24.333333333333332
1109,24.0
1110,24.0
1111,8.0
1112,28.0
1113,33.333333333333336
1114,14.666666666666666
1115,21.0
1116,24.333333333333332
1117,24.333333333333332
1118,24.666666666666668
1119,25.333333333333332
1120,24.0
1121,34.0
1122,28.666666666666668
1123,31.333333333333332
1124,23.666666666666668
1125,24.0
1126,26.333333333333332
1127,22.666666666666668
1128,24.666666666666668
1129,24.0
1130,24.333333333333332
1131,24.333333333333332
1132,24.333333333333332
1133,24.333333333333332
1134,24.333333333333332
1135,25.666666666666668
1136,23.666666666666668
1137,24.666666666666668
1138,22.666666666666668
1139,22.0
1140,21.333333333333332
1141,22.333333333333332
1142,22.333333333333332
1143,21.333333333333332
1144,22.666666666666668
1145,22.0
1146,22.666666666666668
1147,22.0
1148,22.333333333333332
1149,22.0
1150,22.333333333333332
1151,21.666666666666668
1152,22.0
1153,22.333333333333332
1154,22.333333333333332
1155,22.333333333333332
1156,21.666666666666668
1157,22.0
1158,21.333333333333332
1159,24.0
1160,24.333333333333332
1161,22.333333333333332
1162,22.333333333333332
1163,21.666666666666668
1164,24.666666666666668
1165,23.0
1166,23.666666666666668
1167,22.0
1168,22.0
1169,22.333333333333332
1170,26.0
1171,23.333333333333332
1172,22.0
1173,22.0
1174,22.333333333333332
1175,22.333333333333332
1176,15.666666666666666
1177,16.666666666666668
1178,18.0
1179,15.333333333333334
1180,15.0
1181,16.666666666666668
1182,17.0
1183,15.666666666666666
1184,16.666666666666668
1185,18.0
1186,17.333333333333332
1187,20.333333333333332
1188,17.666666666666668
1189,17.0
1190,19.333333333333332
1191,19.666666666666668
1192,18.333333333333332
1193,17.333333333333332
1194,13.333333333333334
1195,16.666666666666668
1196,13.0
1197,13.666666666666666
1198,14.0
1199,13.333333333333334
1200,14.0
1201,13.666666666666666
1202,14.666666666666666
1203,16.333333333333332
1204,15.333333333333334
1205,17.0
1206,13.666666666666666
1207,14.333333333333334
1208,14.333333333333334
1209,14.333333333333334
1210,14.666666666666666
1211,15.0
1212,15.0
1213,15.333333333333334
1214,15.0
1215,15.0
1216,14.333333333333334
1217,16.0
1218,13.0
1219,16.666666666666668
1220,15.333333333333334
1221,14.666666666666666
1222,17.0
1223,17.666666666666668
1224,16.333333333333332
1225,15.333333333333334
1226,15.666666666666666
1227,16.0
1228,15.666666666666666
1229,15.333333333333334
1230,16.333333333333332
1231,15.333333333333334
1232,14.0
1233,15.666666666666666
1234,13.333333333333334
1235,14.0
1236,15.0
1237,16.0
1238,14.333333333333334
1239,13.333333333333334
1240,14.333333333333334
1241,16.333333333333332
1242,14.0
1243,14.0
1244,15.0
1245,15.666666666666666
1246,16.333333333333332
1247,16.0
1248,16.666666666666668
1249,13.666666666666666
1250,16.666666666666668
1251,17.333333333333332
1252,16.333333333333332
1253,18.333333333333332
1254,19.666666666666668
1255,22.0
1256,19.333333333333332
1257,20.0
1258,19.666666666666668
1259,20.666666666666668
1260,18.0
1261,19.0
1262,19.0
1263,17.333333333333332
1264,18.0
1265,19.0
1266,15.0
1267,17.0
1268,14.666666666666666
1269,9.333333333333334
1270,20.666666666666668
1271,19.0
1272,19.0
1273,15.666666666666666
1274,18.0
1275,13.333333333333334
