,MDF_EXP
816,149.61636828644487
817,154.6961325966857
818,147.92899408284126
819,193.67088607594889
820,172.3818350324371
821,169.81132075471695
822,168.5800604229612
823,147.40673339399518
824,133.66336633663323
825,160.55500495540178
826,97.35921094495738
827,105.29556650246317
828,164.6520744854634
829,154.82637782733389
830,83.08605341246233
831,151.16279069767367
832,149.538461538461
833,108.63005431502646
834,164.9810366624515
835,126.76056338028049
836,131.6793893129769
837,155.94059405940624
838,134.67794404684446
839,124.56747404844394
840,163.88467374810295
841,113.43283582089603
842,154.74362910654114
843,168.98672709614834
844,152.97450424929298
845,142.33937397034586
846,155.0239234449754
847,136.90295101916735
848,146.77103718199731
849,162.51556662515506
850,152.63476680799525
851,138.19577735124813
852,168.53932584269742
853,146.91478942213462
854,142.45014245014283
855,148.714810281518
856,139.76059527661016
857,147.6806563584735
858,152.72727272727428
859,122.40932642486959
860,145.83982549080645
861,136.36363636363637
862,150.3856041131105
863,149.90746452806823
864,140.44213263979356
865,142.2699968384466
866,142.595978062158
867,132.9479768786113
868,129.213483146068
869,155.27538155275272
870,145.67821301392257
871,156.96044845842187
872,142.37906905993108
873,131.63751987281523
874,139.36203158872584
875,135.11749347258592
876,131.59567705022093
877,148.8514548238914
878,153.49294850770968
879,130.9712116418859
880,139.36203158872732
881,153.09126594700945
882,136.57919696490725
883,160.17183185026235
884,139.98703823720072
885,141.6430594900861
886,142.24924012158016
887,140.8083441981744
888,141.42049025770086
889,148.7148102815164
890,151.40731154966102
891,152.11267605633674
892,158.08600847970936
893,126.92307692307581
894,150.8848183793851
895,160.98045710499895
896,161.84971098265726
897,151.44904954814513
898,113.17008603573868
899,132.48000000000192
900,161.81029138252052
901,152.94117647058755
902,143.67816091954262
903,149.35464044253348
904,142.48021108179236
905,131.38686131386865
906,139.49163050216993
907,147.63779527559265
908,149.13957934990387
909,160.46726098985343
910,152.84128020901312
911,141.73228346456796
912,143.29454990814315
913,135.47120418848093
914,158.49056603773383
915,144.57831325301254
916,152.04678362573114
917,137.1864083836138
918,147.85518710070227
919,146.19883040935684
920,146.11301904464784
921,137.44654856444902
922,157.5364667747203
923,169.65127238454085
924,159.38931297710144
925,157.02746365105102
926,146.66248824819664
927,129.8786487372899
928,173.4661098618677
929,138.9317690645237
930,152.45009074410189
931,132.05741626794202
932,138.88888888888656
933,135.69321533923207
934,148.76033057851222
935,143.51425942962425
936,140.8542549722853
937,136.57919696490725
938,148.8514548238883
939,123.40842311459583
940,123.71134020618473
941,148.80587875076716
942,151.11398127219988
943,153.02267002519335
944,147.99025578562663
945,151.60349854227124
946,145.6129433727407
947,118.69436201780533
948,148.90232262169872
949,150.93167701863334
950,142.76272306675588
951,155.17241379310263
952,139.232673267327
953,136.49851632047304
954,159.34239645905845
955,137.1115173674582
956,134.9413298565868
957,129.8619824341294
958,171.27071823204938
959,139.98703823719762
960,153.7974683544275
961,149.00662251655382
962,134.11078717200917
963,150.93167701863655
964,158.13389881853988
965,144.64802314368842
966,151.7327505463554
967,149.00662251655382
968,149.5685522531151
969,162.51556662515506
970,166.61157024793138
971,138.5059313882612
972,150.74441687344589
973,147.04992435703804
974,143.31210191082138
975,140.23060143346774
976,171.54124219520045
977,149.9999999999987
978,161.31025957972514
979,154.71074380165055
980,138.68378812199037
981,129.15851272015655
982,134.62137737612957
983,136.83877098511243
984,134.7217702570778
985,130.63199274266717
986,134.74734872114786
987,136.92551505546754
988,134.54663633409154
989,130.82259663032718
990,133.00492610837418
991,155.22388059701476
992,137.57961783439487
993,138.90675241157587
994,136.8821292775664
995,138.284250960307
996,133.03341902313622
997,136.8613138686134
998,131.34328358208978
999,134.78939157566333
1000,134.70533208606176
1001,135.12668126368473
1002,130.68181818181816
1003,138.505931388265
1004,135.1616062683646
1005,129.62356792144095
1006,138.5467980295568
1007,145.52238805970111
1008,138.15158298688823
1009,123.56979405034336
1010,129.17316692667703
1011,136.44977890082112
1012,138.59480269489836
1013,138.86210221793706
1014,134.59037711313397
1015,124.67018469656901
1016,133.4569045412416
1017,134.91567770143644
1018,132.9639889196678
1019,135.7822236798955
1020,131.948686621869
1021,134.4537815126053
1022,137.05583756345186
1023,129.9212598425208
1024,132.84132841328443
1025,136.0629921259845
1026,136.75213675213564
1027,134.67794404684446
1028,131.06796116504842
1029,127.38461538461493
1030,135.7875678937831
1031,137.44829780464497
1032,141.03819784524927
1033,131.98900091659067
1034,133.41568869672545
1035,134.87355604121194
1036,138.4171739826982
1037,134.37195715676754
1038,132.23140495867924
1039,134.28660242462033
1040,139.2201095713837
1041,134.11078717201212
1042,130.6930693069304
1043,139.57816377171213
1044,132.4800000000005
1045,130.55303717135118
1046,134.66334164588463
1047,132.9052969502394
1048,164.43361753958683
1049,130.18867924528274
1050,127.57731958762855
1051,138.80320789636093
1052,130.3937007874025
1053,139.80582524271904
1054,128.78048780487947
1055,132.59668508287274
1056,128.054438601918
1057,132.7348509137532
1058,132.11009174311954
1059,127.20848056536964
1060,132.7188940092177
1061,132.18390804597774
1062,131.5068493150693
1063,134.78939157566228
1064,139.08564069542948
1065,129.03225806451735
1066,138.33384568091103
1067,133.00492610837384
1068,136.0629921259823
1069,136.62239089184106
1070,138.5948026948976
1071,145.2081316553721
1072,186.89162881245775
1073,132.86264441591652
1074,171.31979695431482
1075,156.473144986029
1076,139.57996768982312
1077,138.72832369942356
1078,137.31722822631897
1079,134.11078717201212
1080,130.8694335049985
1081,134.49564134495876
1082,136.32060586936015
1083,134.94132985658382
1084,132.51533742331418
1085,132.82001924927687
1086,136.86131386861268
1087,153.4090909090884
1088,142.8135489777226
1089,152.5902668759794
1090,139.85108449336104
1091,164.27640156453683
1092,141.40752864157037
1093,149.09206753743507
1094,141.9110690633878
1095,159.4379963347609
1096,139.175257731963
1097,142.1628189550422
1098,141.30434782608742
1099,137.22998729352258
1100,157.40162398500834
1101,138.88888888888948
1102,150.18541409147142
1103,149.95371798827588
1104,164.97545008183207
1105,140.30529392659972
1106,162.89592760181085
1107,163.1067961165056
1108,165.71428571428572
1109,174.32052483598756
1110,191.11969111968878
1111,204.79704797047694
1112,182.6831588962894
1113,185.3878339234005
1114,170.86743044190135
1115,179.47893213251635
1116,130.71104387292002
1117,135.99274705349083
1118,152.49266862170398
1119,155.12288541334107
1120,153.0708661417301
1121,171.58671586715997
1122,186.35809987820036
1123,184.7268336854783
1124,178.49395723581907
1125,168.17010309278123
1126,169.34749620637305
1127,134.80950830348405
1128,151.3583441138396
1129,149.7120921305172
1130,143.4034416825999
1131,160.1525262154466
1132,147.35516372795763
1133,146.38723803565415
1134,148.94269077536168
1135,163.43825665859245
1136,149.1871214536208
1137,149.66421490246142
1138,148.00759013283104
1139,139.80582524271904
1140,149.40055333538075
1141,143.63230130864915
1142,142.668428005282
1143,147.49448471478195
1144,139.48982886664297
1145,143.86719950815046
1146,142.3600126542238
1147,140.67079127320076
1148,146.38723803565725
1149,166.7198977962303
1150,142.98808432630804
1151,135.59322033898445
1152,144.04432132964087
1153,138.2842509603123
1154,141.64305949008912
1155,149.00662251655382
1156,157.17981888744882
1157,162.87051482059536
1158,152.89121202221432
1159,154.09004438808213
1160,147.58937356510546
1161,159.4432141727341
1162,169.97720612178045
1163,203.2622333751547
1164,170.27769301190003
1165,140.35087719298258
1166,152.40399153310872
1167,143.55828220859334
1168,136.27760252366008
1169,144.22187981510098
1170,145.8670988654721
1171,137.2735938989483
1172,134.91567770143286
1173,138.6321626617354
1174,136.77811550151372
1175,136.03385731559885
1176,143.91143911439113
1177,164.81360366252454
1178,174.92163009404382
1179,156.27906976744188
1180,160.0735970561178
1181,153.0984204131228
1182,163.74269005847944
1183,153.45753078623315
1184,164.65207448546226
1185,177.6504297994272
1186,167.16417910447765
1187,165.68047337278082
1188,179.21593030491638
1189,153.89487017099424
1190,165.644171779141
1191,161.50990099009888
1192,167.89964618848532
1193,165.50412175015873
1194,152.64187866927594
1195,133.1189710610935
1196,142.09030628354864
1197,144.62299134734207
1198,139.1465677179959
1199,135.78756789378377
1200,143.07551207581812
1201,136.65350744002473
1202,141.77693761814766
1203,161.07382550335473
1204,153.11909262759949
1205,170.3470031545742
1206,149.25373134328342
1207,139.3188854489166
1208,142.00063111391606
1209,144.92753623188455
1210,149.28229665071788
1211,136.9446135118687
1212,138.93176906452592
1213,139.2757660167133
1214,138.80320789636022
1215,139.4484040904866
1216,148.6238532110087
1217,150.93167701863334
1218,145.3488372093032
1219,155.98885793871892
1220,140.8450704225355
1221,137.40458015267222
1222,156.08547537937292
1223,154.1284403669728
1224,153.74507227332487
1225,158.51272015655533
1226,158.71979098628464
1227,147.92899408283878
1228,166.975881261596
1229,165.62602694709196
1230,160.4672609898551
1231,153.5181236673783
1232,154.6961325966849
1233,158.291457286432
1234,154.3347094315672
1235,147.39600393056077
1236,157.64779480763258
1237,170.3470031545751
1238,147.27272727272728
1239,148.31905075807498
1240,158.54042151620138
1241,164.009111617312
1242,144.741074300418
1243,148.2889733840307
1244,168.42740718382018
1245,158.79017013232453
1246,155.12465373961325
1247,155.84415584415623
1248,156.03715170278824
1249,151.30759651307702
1250,171.93675889328054
1251,173.61543248288498
1252,164.98625114573662
1253,162.9485935984472
1254,157.30337078651758
1255,169.39890710382485
1256,154.4044869679988
1257,156.57036346691658
1258,117.30205278592484
1259,160.91245376079002
1260,177.14285714285717
1261,142.43323442136477
1262,124.13793103448418
1263,167.14697406339926
1264,170.3470031545751
1265,148.31905075807498
1266,166.7217995368813
1267,167.09346991037188
1268,164.22287390029297
1269,172.54174397031585
1270,173.9401496259343
1271,164.6341463414625
1272,162.37113402061993
1273,165.18813092689098
1274,167.36133376081926
1275,167.59776536312836
1276,160.0
1277,173.41040462427944
1278,164.92146596858547
1279,161.28000000000236
1280,173.45352813179943
1281,159.76331360946588
1282,156.57036346691163
1283,175.80340264650403
1284,169.60486322188402
1285,179.99999999999736
1286,188.72870249016907
1287,177.19911082883067
1288,168.2785299806553
1289,148.76033057851103
1290,159.79708306911877
1291,167.04000000000244
1292,168.802750859646
1293,154.43279313632016
1294,168.43418590143392
1295,150.38560411311215
1296,166.88741721854026
1297,143.11926605504468
1298,147.34774066797877
1299,160.61538461538575
1300,158.54042151619797
1301,154.9155908639498
1302,160.71428571428507
1303,160.18457481871917
1304,164.56494325346534
1305,150.48231511253843
1306,151.6526247569641
1307,141.95583596214593
1308,154.20098846787295
1309,152.5902668759827
1310,152.30335318082282
1311,140.90019569471588
1312,144.32328415650923
1313,146.91478942213462
1314,141.91852825230148
1315,130.73621657312464
1316,138.16395455940884
1317,139.9416909620996
1318,145.56765163297004
1319,134.11983855945343
1320,134.89736070381207
1321,136.157337367625
1322,144.046094750319
1323,140.845070422534
1324,143.4948979591831
1325,142.00063111391682
1326,144.97422680412177
1327,140.7129455909963
1328,132.94797687860842
1329,136.98630136986245
1330,157.48541801684732
1331,160.98045710499895
1332,142.72644098810827
1333,136.9953673064205
1334,163.26530612245315
1335,155.12465373961325
1336,179.1639017916357
1337,155.27538155275096
1338,144.23076923076798
1339,149.3032514930298
1340,147.58578803522596
1341,164.00911161731563
1342,159.0493601462548
1343,154.35356200527505
1344,149.7120921305172
1345,153.44262295081853
1346,156.32754342431755
1347,147.76527820006342
1348,137.84301212507913
1349,120.3281677301779
1350,136.3223265677096
1351,158.25464018234732
1352,144.66769706336675
1353,150.18541409146826
1354,155.27538155275448
1355,147.58578803522596
1356,157.689811810513
1357,147.4962063732957
1358,150.41782729804723
1359,152.39335721263078
1360,157.4999999999955
1361,136.85950413223244
1362,139.75155279503383
1363,152.35109717868514
