,ST_EXP
1252,142.5
1253,172.5
1254,217.5
1255,97.5
1256,112.5
1257,165.0
1258,112.5
1259,112.5
1260,112.5
1261,97.5
1262,120.0
1263,112.5
1264,165.0
1265,135.0
1266,82.5
1267,105.0
1268,82.5
1269,135.0
1270,97.5
1271,105.0
1272,52.5
1273,67.5
1274,157.5
1275,172.5
1276,172.5
1277,172.5
1278,157.5
1279,142.5
1280,157.5
1281,165.0
1282,202.5
1283,180.0
1284,232.5
1285,180.0
1286,157.5
1287,180.0
1288,180.0
1289,142.5
1290,97.5
1291,105.0
1292,112.5
1293,112.5
1294,90.0
1295,97.5
1296,142.5
1297,165.0
1298,142.5
1299,75.0
1300,60.0
1301,112.5
1302,75.0
1303,82.5
1304,97.5
1305,187.5
1306,172.5
1307,187.5
1308,105.0
1309,97.5
1310,45.0
1311,127.5
1312,187.5
1313,127.5
1314,150.0
1315,157.5
1316,157.5
1317,165.0
1318,157.5
1319,135.0
1320,142.5
1321,187.5
1322,157.5
1323,195.0
1324,142.5
1325,127.5
1326,127.5
1327,172.5
1328,127.5
1329,180.0
1330,142.5
1331,172.5
1332,172.5
1333,217.5
1334,105.0
1335,90.0
1336,97.5
1337,127.5
1338,157.5
1339,135.0
1340,202.5
1341,120.0
1342,105.0
1343,120.0
1344,172.5
1345,142.5
1346,157.5
1347,142.5
1348,180.0
1349,142.5
1350,142.5
1351,97.5
1352,45.0
1353,112.5
1354,127.5
1355,135.0
1356,150.0
1357,105.0
1358,172.5
1359,112.5
1360,97.5
1361,180.0
1362,165.0
1363,187.5
1364,150.0
1365,97.5
1366,112.5
1367,82.5
1368,157.5
1369,82.5
1370,52.5
1371,157.5
1372,232.5
1373,202.5
1374,217.5
1375,187.5
1376,187.5
1377,202.5
1378,202.5
1379,202.5
1380,202.5
1381,195.0
1382,202.5
1383,202.5
1384,232.5
1385,187.5
1386,187.5
1387,187.5
1388,202.5
1389,187.5
1390,187.5
1391,217.5
1392,202.5
1393,217.5
1394,187.5
1395,217.5
1396,142.5
1397,202.5
1398,187.5
1399,172.5
1400,180.0
1401,217.5
1402,202.5
1403,202.5
1404,195.0
1405,202.5
1406,210.0
1407,202.5
1408,202.5
1409,202.5
1410,217.5
1411,202.5
1412,202.5
1413,172.5
1414,172.5
1415,172.5
1416,202.5
1417,202.5
1418,202.5
1419,187.5
1420,217.5
1421,225.0
1422,187.5
1423,187.5
1424,187.5
1425,202.5
1426,187.5
1427,187.5
1428,172.5
1429,172.5
1430,202.5
1431,232.5
1432,195.0
1433,217.5
1434,210.0
1435,202.5
1436,180.0
1437,187.5
1438,240.0
1439,202.5
1440,187.5
1441,202.5
1442,202.5
1443,172.5
